P1,P2
0.11467523335421462,0.1921628604008993
0.35941094954994574,0.751860125587012
0.22874028209153796,0.33917157602322207
0.25792551169630484,0.28043414988881565
0.40110282245435064,0.2016751294334385
0.19728485170869844,0.22015541489520818
0.25822916939617285,0.7653746641861816
0.2274819569248269,0.22200416563777844
0.1734621679573684,0.3470006177758901
0.28826148361914905,0.5110026511354038
0.3143696031595955,0.3407743908987155
0.18800985284000196,0.25819076642921684
0.07866718090167994,0.2311623187347131
0.2507418948906591,0.23321473677452925
0.2552433983817693,0.45201222589354295
0.32316191597221344,0.12013553939183975
0.11999797429575987,0.19044810607078044
0.090539091522853,0.3214611043953057
0.3034695540161548,0.28149221161751087
0.19099467049018334,0.2528142557610988
0.43495639663829194,0.7345770022754462
0.07363858719957217,0.24076407394674526
0.17899118713313997,0.209257661350515
0.280402198190061,0.330870863815198
0.25391335545879473,0.7416900667484027
0.21602320702259317,0.14579348501430725
0.19205639151768536,0.6182105092868503
0.27695478324503775,0.3694963592417506
0.10401015316899127,0.7870543709186423
0.28011495396594205,0.20031163277203706
0.27846397078338814,0.2242597468491189
0.21864214409696198,0.7414258638577854
0.22903639955531893,0.43344251079896623
0.2556364295886892,0.22710699942027715
0.3544755265568207,0.4242670736695008
0.2726924607096519,0.2458416402547922
0.1679256101855923,0.34837008540469405
0.15131615937263956,0.14786788783490984
0.34973152168294885,0.19078712479050736
0.09411588879368672,0.21702975286738685
0.20935248577173485,0.7748340076759203
0.3418328152674782,0.25758704013787065
0.26326663504713965,0.7387574406232704
0.19619691120041197,0.16440306656921902
0.5260320250447345,0.3191583133414542
0.40299844740722623,0.28656721357683257
0.14154290913812959,0.7695695459193569
0.2265740780470587,0.5832572928120154
0.44461058695200334,0.19917131235396893
0.27636902282912185,0.722069464402276
0.24875645324662793,0.4812027387569398
0.4484443353910915,0.2799759740150119
0.28790136676334704,0.23467204504206252
0.20359415696049743,0.3518290928037379
0.10326907283470456,0.33780846907358786
0.3880213956148431,0.46365539272480166
0.7348807256673975,0.3196555962475878
0.06779741411891545,0.23341962067995278
0.1388122216696296,0.38971650561674126
0.11514134839022926,0.4950298217685358
0.09175157287634048,0.6515763262423133
0.20173129945134374,0.7498813801430441
0.5231024983437477,0.3672771704053205
0.15063574708448316,0.7365411224647116
0.25444523579902356,0.774276529308225
0.29572762650350626,0.5128808497867863
0.45129477859878914,0.7295347318993034
0.0836137559070894,0.27832407878828047
0.29714485733172796,0.7720410307918749
0.2862260760535099,0.3528525398752128
0.8246439460593966,0.8475996479794028
0.3758110533068917,0.3011035836777576
0.12205839478696662,0.4032315761644029
0.12177476201837831,0.23180067498627152
0.16765226876659373,0.47768705781175896
0.22403271343020187,0.2604343766236692
0.7120965732809522,0.24132802089741168
0.08807599980295006,0.823852979140892
0.04390115201289724,0.5028168150048667
0.16454379698053276,0.17701603699371765
0.3204916748918058,0.6315648434577539
0.053210627831082144,0.7298590151212849
0.3207818168262385,0.42586391217360814
0.19278786422844368,0.32773853929565355
0.22469084271253845,0.7672536987368922
0.18160857555418472,0.2947420147675296
0.1735369214699855,0.3882285852853753
0.5523424647245456,0.20328138643744484
0.6954759403508348,0.8488592309173619
